rcid,unres,date,year,me,nu,di,co,hr,ec,developed_abstain,developed_yes,developed_no,developed_absent,developed_not_member,undeveloped_abstain,undeveloped_yes,undeveloped_no,undeveloped_absent,undeveloped_not_member
164,R/3/587,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,8,33,17,1,138
165,R/3/591,1949-05-03,1949,0,0,0,1,0,0,0,0,0,0,0,29,21,8,1,138
166,R/3/592A,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,28,21,9,1,138
167,R/3/592B,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,16,3,39,1,138
168,R/3/593A,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,4,35,19,1,138
169,R/3/593B,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,10,37,11,1,138
170,R/3/593C,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,8,22,28,1,138
171,R/3/595,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,7,14,37,1,138
172,R/3/598,1949-05-03,1949,0,0,0,0,0,0,0,0,0,0,0,9,21,28,1,138
173,R/3/608,1949-05-04,1949,0,0,0,0,0,0,0,0,0,0,0,11,21,27,0,138
174,R/3/611,1949-05-04,1949,0,0,0,0,0,0,0,0,0,0,0,10,2,43,4,138
175,R/4/117,1949-10-04,1949,0,0,0,0,1,0,0,0,0,0,0,10,38,10,1,138
176,R/4/150,1949-10-06,1949,0,0,0,0,1,0,0,0,0,0,0,7,47,5,0,138
177,R/4/165,1949-10-06,1949,0,0,0,0,0,0,0,0,0,0,0,3,28,24,4,138
178,R/4/188A,1949-11-05,1949,0,0,0,1,0,0,0,0,0,0,0,7,29,21,2,138
179,R/4/188B,1949-11-05,1949,0,0,0,1,0,1,0,0,0,0,0,1,55,1,2,138
180,R/4/189A,1949-11-05,1949,0,0,0,1,0,0,0,0,0,0,0,4,52,1,2,138
181,R/4/189B,1949-11-05,1949,0,0,0,1,0,0,0,0,0,0,0,4,48,5,2,138
182,R/4/211,1949-11-06,1949,0,0,0,0,0,1,0,0,0,0,0,0,55,0,4,138
183,R/4/212,1949-11-06,1949,0,0,0,0,0,1,0,0,0,0,0,14,20,21,4,138
184,R/4/264A,1949-11-01,1949,0,0,0,0,0,0,0,0,0,0,0,23,8,27,1,138
185,R/4/264B,1949-11-01,1949,0,0,0,0,0,0,0,0,0,0,0,16,6,36,1,138
186,R/4/264C,1949-11-01,1949,0,0,0,0,0,0,0,0,0,0,0,6,6,46,1,138
187,R/4/264D,1949-11-01,1949,0,0,0,0,0,0,0,0,0,0,0,5,6,47,1,138
188,R/4/264E,1949-11-01,1949,0,0,0,0,0,0,0,0,0,0,0,12,5,41,1,138
189,R/4/264F,1949-11-01,1949,0,0,0,0,0,0,0,0,0,0,0,10,6,42,1,138
190,R/4/265,1949-11-01,1949,0,0,0,0,0,0,0,0,0,0,0,1,6,51,1,138
191,R/4/301A,1949-11-04,1949,0,0,0,0,0,0,0,0,0,0,0,7,14,37,1,138
192,R/4/301B,1949-11-04,1949,0,0,0,0,0,0,0,0,0,0,0,7,16,35,1,138
193,R/4/302A,1949-11-04,1949,0,0,0,1,0,0,0,0,0,0,0,12,10,36,1,138
